naibbe_max,naibbe_min,voyb_max,voyb_min
qokey,qkey,okeedy,okEdy
ol,ol,cheky,Seky
qokeey,qkEy,shese,Zese
okes,okes,aiin,aM
dykair,dykaT,sheos,Zeos
shar,Zar,cheody,Seody
shar,Zar,otal,otal
qokedy,qkedy,pchedar,pSedar
ol,ol,qodary,qdary
ar,ar,oiiin,o3
ytar,ytar,pcheety,pSEty
qoky,qky,sair,saT
oteedy,otEdy,shedy,Zedy
shol,Zol,ypchedy,ypSedy
qotsheeedy,qtZEedy,ypchdy,ypSdy
otchees,otSEs,qopy,qpy
chedy,Sedy,shdy,Zdy
lcheedal,lSEdal,saraiir,saraU
ar,ar,chekedy,Sekedy
daiin,daM,qokedy,qkedy
dar,dar,otedy,otedy
otal,otal,sar,sar
qokshear,qkZear,y,y
dal,dal,etedy,etedy
chctheor,SQeor,qokedy,qkedy
okeedy,okEdy,or,or
tdy,tdy,aree,arE
osor,osor,alys,alys
dykaiin,dykaM,chedy,Sedy
saiin,saM,pchdar,pSdar
ytedar,ytedar,opar,opar
qol,ql,dar,dar
otain,otaN,cheeol,SEol
qopcheol,qpSeol,ofchdy,ofSdy
qokair,qkaT,otedy,otedy
daiin,daM,ckhdy,Xdy
qokdar,qkdar,odar,odar
sheedar,ZEdar,chedy,Sedy
lseedy,lsEdy,ytedy,ytedy
shesy,Zesy,okchdy,okSdy
oiinedy,oMedy,g,g
qoror,qror,yckheody,yXeody
yor,yor,qokedy,qkedy
chedy,Sedy,deey,dEy
qoky,qky,saldy,saldy
olshee,olZE,okedor,okedor
qokar,qkar,or,or
al,al,eeeos,Eeos
ysham,yZam,oraiin,oraM
ar,ar,okeo,okeo
okar,okar,chekaiin,SekaM
olche,olSe,deeol,dEol
lsheedy,lZEdy,eeeody,Eeody
qokaiin,qkaM,qoteedy,qtEdy
qoteedy,qtEdy,qokody,qkody
shedaiin,ZedaM,qotedy,qtedy
qoked,qked,qotedy,qtedy
qopeeos,qpEos,opchedy,opSedy
qoeesy,qEsy,ofchy,ofSy
qokchdy,qkSdy,chs,Ss
chal,Sal,ar,ar
chey,Sey,toeedy,toEdy
shy,Zy,keody,keody
qotsy,qtsy,shedy,Zedy
ychees,ySEs,dar,dar
qokeedy,qkEdy,chedy,Sedy
lkchaiis,lkSaiis,sches,sSes
ytdy,ytdy,or,or
daleor,daleor,cheeky,SEky
oteedy,otEdy,dar,dar
aiin,aM,chey,Sey
oedy,oedy,cheky,Seky
saiin,saM,ytchdy,ytSdy
olchedol,olSedol,pchedy,pSedy
sheey,ZEy,dar,dar
qokeedy,qkEdy,cheoet,Seoet
qoail,qaG,chy,Sy
reed,rEd,sair,saT
chckhy,SXy,chees,SEs
sar,sar,odaiiin,oda3
okchedy,okSedy,chkeeey,SkEey
ykedor,ykedor,ykey,ykey
shy,Zy,sheey,ZEy
rar,rar,teeedy,tEedy
tshedam,tZedam,okeeos,okEos
tam,tam,cheeos,SEos
dar,dar,ysaiin,ysaM
ychor,ySor,okcheey,okSEy
dal,dal,keody,keody
aiin,aM,saiin,saM
olyeeo,olyEo,cheeos,SEos
ltl,ltl,qokes,qkes
dar,dar,ory,ory
kcheedy,kSEdy,ysheey,yZEy
shey,Zey,okeshy,okeZy
oeor,oeor,shodypshey,ZodypZey
olkeedy,olkEdy,todydy,todydy
lcheeedy,lSEedy,keedey,kEdey
shctheody,ZQeody,qofchedy,qfSedy
qokey,qkey,shees,ZEs
shey,Zey,aiin,aM
okchedaiin,okSedaM,qokeefcy,qkEfcy
tchdal,tSdal,chepakeo,Sepakeo
qotedaiin,qtedaM,dcheey,dSEy
lsd,lsd,daiin,daM
qokaiin,qkaM,okeedy,okEdy
ar,ar,qokees,qkEs
qopchaiin,qpSaM,s,s
ofchdy,ofSdy,aiin,aM
dshal,dZal,shckhey,ZXey
cheedy,SEdy,qef,qef
kar,kar,qokeey,qkEy
am,am,chey,Sey
dal,dal,daiin,daM
opchaim,opSaK,qokeey,qkEy
or,or,rair,raT
ofeo,ofeo,chekey,Sekey
chedy,Sedy,saiin,saM
qotal,qtal,da,da
qoksheey,qkZEy,qotar,qtar
dain,daN,chy,Sy
pchor,pSor,dar,dar
lchey,lSey,lk,lk
oiinol,oMol,r,r
qotal,qtal,ar,ar
chckhsdy,SXsdy,cheey,SEy
chs,Ss,keeol,kEol
sheeey,ZEey,chd,Sd
chedy,Sedy,qokey,qkey
otey,otey,daiin,daM
ychaiin,ySaM,sheoody,Zeoody
ol,ol,qokeor,qkeor
olkchdy,olkSdy,tshokeody,tZokeody
dorair,doraT,qokedy,qkedy
okcheeody,okSEody,qotedy,qtedy
reees,rEes,chepar,Separ
ol,ol,chedy,Sedy
kody,kody,r,r
chol,Sol,aiin,aM
dcheos,dSeos,dal,dal
salesy,salesy,ykeedar,ykEdar
qoctheody,qQeody,saiin,saM
shckheey,ZXEy,checkhey,SeXey
shey,Zey,sheol,Zeol
cheol,Seol,qokedy,qkedy
qokal,qkal,ykeedy,ykEdy
qoksheor,qkZeor,chedy,Sedy
chedy,Sedy,ldy,ldy
oee,oE,shedy,Zedy
daiin,daM,qokedy,qkedy
chey,Sey,cheol,Seol
ltedair,ltedaT,cheod,Seod
qokal,qkal,qokeody,qkeody
dar,dar,cheol,Seol
cphdy,Wdy,checthy,SeQy
qokain,qkaN,daiir,daU
dair,daT,sheeo,ZEo
sheey,ZEy,shcthey,ZQey
al,al,okeol,okeol
okal,okal,tol,tol
lsdol,lsdol,shso,Zso
redor,redor,okedy,okedy
chedy,Sedy,okedy,okedy
qokaiin,qkaM,qokedy,qkedy
chedy,Sedy,qokeedy,qkEdy
sheol,Zeol,dar,dar
qod,qd,shedshey,ZedZey
kchaly,kSaly,olsheol,olZeol
qokey,qkey,qokchy,qkSy
shals,Zals,dal,dal
sheedy,ZEdy,chey,Sey
lshedair,lZedaT,deey,dEy
saiin,saM,kchy,kSy
cheol,Seol,keey,kEy
dalyaiin,dalyaM,okaiin,okaM
qotal,qtal,ykeey,ykEy
cthedy,Qedy,qoaiin,qaM
ocheaiin,oSeaM,yches,ySes
chedy,Sedy,okedy,okedy
ldal,ldal,sheey,ZEy
qokey,qkey,chedaiin,SedaM
lshaiin,lZaM,dar,dar
lkain,lkaN,olsheor,olZeor
ykedar,ykedar,qoekedy,qekedy
yteo,yteo,okedy,okedy
taiin,taM,ykedy,ykedy
ychedol,ySedol,dals,dals
shckhy,ZXy,saiir,saU
rdaiin,rdaM,or,or
yor,yor,chedy,Sedy
okar,okar,daiin,daM
oky,oky,okeedy,okEdy
otain,otaN,yshedair,yZedaT
dain,daN,sheol,Zeol
qokeos,qkeos,cheky,Seky
okchy,okSy,okedam,okedam
opaiin,opaM,oteor,oteor
qokeedy,qkEdy,aiicthy,aiiQy
chckhey,SXey,podair,podaT
qol,ql,sheedy,ZEdy
shedy,Zedy,otedy,otedy
ychal,ySal,oteedy,otEdy
shes,Zes,qotolcheo,qtolSeo
qokor,qkor,s,s
oledor,oledor,arar,arar
ka,ka,oteey,otEy
shedy,Zedy,dkarar,dkarar
qokal,qkal,als,als
chedy,Sedy,ytchos,ytSos
qokeey,qkEy,octhey,oQey
olkain,olkaN,okeeos,okEos
dar,dar,cheody,Seody
lkas,lkas,okeey,okEy
olches,olSes,kchody,kSody
qokchain,qkSaN,daiin,daM
qockhedy,qXedy,cheody,Seody
ytcham,ytSam,keedy,kEdy
shedy,Zedy,ykeeo,ykEo
aredy,aredy,daiin,daM
cpho,Wo,shedal,Zedal
ol,ol,okedy,okedy
oey,oey,okey,okey
taiin,taM,keody,keody
dytiir,dytU,okchey,okSey
otedy,otedy,sair,saT
cheey,SEy,okees,okEs
oleedaiin,olEdaM,o,o
qolkod,qlkod,lkedy,lkedy
qol,ql,dair,daT
dain,daN,cthedy,Qedy
chom,Som,qokedy,qkedy
sheeey,ZEey,okeody,okeody
shy,Zy,chedar,Sedar
cheeal,SEal,oked,oked
chal,Sal,al,al
sheeody,ZEody,ockhedy,oXedy
oteedy,otEdy,okeedy,okEdy
shedy,Zedy,otas,otas
qokaiin,qkaM,ykeos,ykeos
rchor,rSor,cheeoy,SEoy
or,or,ar,ar
ypchy,ypSy,aiin,aM
okeedy,okEdy,pcheeody,pSEody
otdy,otdy,qop,qp
qoty,qty,chedal,Sedal
okeeor,okEor,eeecfhy,EeYy
reols,reols,chefchol,SefSol
olyey,olyey,or,or
ochaiin,oSaM,cheef,SEf
ykches,ykSes,alaiin,alaM
okaiin,okaM,opal,opal
qokal,qkal,sheo,Zeo
ctheeedy,QEedy,otar,otar
tcheam,tSeam,olteedam,oltEdam
qotain,qtaN,ches,Ses
schaiin,sSaM,chol,Sol
olky,olky,keeol,kEol
olcheedain,olSEdaN,checkhy,SeXy
ysheol,yZeol,okeol,okeol
pal,pal,okal,okal
dchor,dSor,oky,oky
lchdair,lSdaT,cheokar,Seokar
qokol,qkol,okor,okor
olkain,olkaN,ary,ary
chckhy,SXy,yk,yk
sheey,ZEy,aiin,aM
ol,ol,chee,SE
olter,olter,ksheey,kZEy
chal,Sal,ychek,ySek
qoedair,qedaT,eeor,Eor
okal,okal,cheor,Seor
ol,ol,or,or
otchy,otSy,checthy,SeQy
aiin,aM,okechoked,okeSoked
qoledy,qledy,lchey,lSey
qokal,qkal,okam,okam
yedam,yedam,ytecheol,yteSeol
oteedy,otEdy,sheoeky,Zeoeky
ldar,ldar,okeos,okeos
qokeedy,qkEdy,aiin,aM
ol,ol,acthedy,aQedy
oeo,oeo,chkaiin,SkaM
tcheol,tSeol,chetchey,SetSey
okaiin,okaM,ctheey,QEy
or,or,okear,okear
schdal,sSdal,dar,dar
dain,daN,seoar,seoar
lty,lty,al,al
otaiin,otaM,kar,kar
lsheeey,lZEey,oeeeos,oEeos
qokchedy,qkSedy,cheos,Seos
shedy,Zedy,aiin,aM
dcheol,dSeol,o,o
okeey,okEy,ekeey,ekEy
oteey,otEy,okeo,okeo
chdy,Sdy,kor,kor
salesy,salesy,oteol,oteol
y,y,ain,aN
daiin,daM,saiin,saM
otaiin,otaM,ar,ar
ytd,ytd,ckheos,Xeos
okaiin,okaM,chedy,Sedy
lsedar,lsedar,okeey,okEy
raiin,raM,qoear,qear
okedaiin,okedaM,oraiin,oraM
qol,ql,cheom,Seom
dar,dar,tshdar,tZdar
lchey,lSey,shdor,Zdor
ltody,ltody,shepchdy,ZepSdy
chedaiiin,Seda3,cphody,Wody
qokain,qkaN,yfoldy,yfoldy
qody,qdy,qofockhdy,qfoXdy
shckhy,ZXy,otchedy,otSedy
qokchedy,qkSedy,lfchdy,lfSdy
okeeey,okEey,daiin,daM
roiin,roM,ytchedy,ytSedy
qokal,qkal,qokar,qkar
ar,ar,cheky,Seky
dal,dal,okaldy,okaldy
chol,Sol,qokaldy,qkaldy
ol,ol,otor,otor
rsheam,rZeam,oldor,oldor
alal,alal,qotor,qtor
opchaiin,opSaM,otar,otar
odaly,odaly,otardam,otardam
qotain,qtaN,loiin,loM
shol,Zol,y,y
lchey,lSey,cheky,Seky
shey,Zey,qokedy,qkedy
pchor,pSor,shedy,Zedy
qokchey,qkSey,chdal,Sdal
peos,peos,chechdaiin,SeSdaM
sheol,Zeol,qokchy,qkSy
chor,Sor,ody,ody
dar,dar,chekeedy,SekEdy
cthedar,Qedar,ykam,ykam
qoes,qes,taiin,taM
chol,Sol,chekey,Sekey
solcheos,solSeos,or,or
aledair,aledaT,alaiiin,ala3
lseeor,lsEor,saiin,saM
ychsdy,ySsdy,okaiin,okaM
ytar,ytar,dar,dar
qokedy,qkedy,cheedy,SEdy
qockheeedy,qXEedy,chkeey,SkEy
cthsaiin,QsaM,far,far
ched,Sed,aiin,aM
ypched,ypSed,s,s
tshols,tZols,pair,paT
ped,ped,or,or
chcphol,SWol,aiin,aM
qopchm,qpSm,otaiin,otaM
cphdaly,Wdaly,ol,ol
raiin,raM,kor,kor
air,aT,aiin,aM
lkeol,lkeol,okal,okal
chedy,Sedy,otal,otal
orcheey,orSEy,chdal,Sdal
or,or,shekal,Zekal
otaiin,otaM,qakar,qakar
ol,ol,otam,otam
qofchedam,qfSedam,yteey,ytEy
okeey,okEy,shody,Zody
kes,kes,tchedydy,tSedydy
lsd,lsd,chekar,Sekar
raiin,raM,okaiin,okaM
aiiineos,a3eos,okaiin,okaM
qotar,qtar,daiin,daM
shedy,Zedy,okal,okal
odyesy,odyesy,dar,dar
qotchedy,qtSedy,chos,Sos
chdy,Sdy,aiin,aM
dain,daN,or,or
oltor,oltor,aiin,aM
okeedy,okEdy,cheekaiin,SEkaM
qokchey,qkSey,okain,okaN
fcheeam,fSEam,ar,ar
qokchy,qkSy,okeeey,okEey
ksdy,ksdy,tar,tar
alos,alos,ar,ar
shedy,Zedy,daiin,daM
dalyeeedy,dalyEedy,ydain,ydaN
otal,otal,cthey,Qey
soledy,soledy,dolr,dolr
chckhs,SXs,sheky,Zeky
olees,olEs,ar,ar
qopcheeedy,qpSEedy,aiin,aM
olcheedy,olSEdy,cs,cs
qotedy,qtedy,kchdy,kSdy
qdy,qdy,dam,dam
ted,ted,dy,dy
tches,tSes,oky,oky
lkcheoly,lkSeoly,otal,otal
yteed,ytEd,dain,daN
qokeey,qkEy,chdy,Sdy
lkchaiir,lkSaU,ytam,ytam
qokchedy,qkSedy,otam,otam
dar,dar,cham,Sam
dain,daN,dar,dar
lkchal,lkSal,chckhy,SXy
cthair,QaT,dy,dy
lkesy,lkesy,dyky,dyky
keeedy,kEedy,ckhdy,Xdy
orchdy,orSdy,oky,oky
chol,Sol,dam,dam
qokar,qkar,okardy,okardy
chol,Sol,komdy,komdy
keeod,kEod,tokar,tokar
chckhy,SXy,shdy,Zdy
oteedy,otEdy,dal,dal
solor,solor,qokor,qkor
olyed,olyed,shd,Zd
qokey,qkey,otody,otody
kedor,kedor,chedy,Sedy
ytas,ytas,ykedy,ykedy
reody,reody,dodl,dodl
lcheedal,lSEdal,dain,daN
chedy,Sedy,tchdy,tSdy
otedy,otedy,chody,Sody
olky,olky,okaiin,okaM
aiin,aM,chckhy,SXy
lkaiin,lkaM,dor,dor
qokor,qkor,arl,arl
olkal,olkal,cthy,Qy
qoky,qky,dy,dy
okshesy,okZesy,ty,ty
al,al,dy,dy
qotes,qtes,ykar,ykar
chey,Sey,cheky,Seky
odyeedy,odyEdy,dy,dy
qoky,qky,ycheo,ySeo
odyeedaiin,odyEdaM,dor,dor
chol,Sol,olaiin,olaM
qokeey,qkEy,okar,okar
soleos,soleos,chdy,Sdy
qokeedy,qkEdy,chdy,Sdy
kedar,kedar,oldy,oldy
tedy,tedy,okar,okar
lkeor,lkeor,chdy,Sdy
dady,dady,tshdy,tZdy
chckhas,SXas,shefchdy,ZefSdy
cheeor,SEor,shckhdy,ZXdy
saiin,saM,oltedy,oltedy
chdy,Sdy,daiin,daM
ofchod,ofSod,oky,oky
chckhg,SXg,cheol,Seol
solcheody,solSeody,orain,oraN
ol,ol,chdyshdy,SdyZdy
cheey,SEy,porar,porar
ychar,ySar,darar,darar
okdaiin,okdaM,sheey,ZEy
sored,sored,keedy,kEdy
oro,oro,okchy,okSy
yeer,yEr,okar,okar
dar,dar,okedy,okedy
sche,sSe,chy,Sy
raiin,raM,daiin,daM
okeam,okeam,dy,dy
chedy,Sedy,dy,dy
qokeedy,qkEdy,dar,dar
qokar,qkar,aiin,aM
al,al,okary,okary
kshedy,kZedy,sar,sar
okar,okar,or,or
ofcheedy,ofSEdy,aiin,aM
dshdar,dZdar,chor,Sor
otchair,otSaT,or,or
ockhais,oXais,shkair,ZkaT
qokedy,qkedy,shol,Zol
opoy,opoy,or,or
shedal,Zedal,chckhy,SXy
chcthor,SQor,ar,ar
cheeeody,SEeody,aiin,aM
chesy,Sesy,okain,okaN
chey,Sey,dal,dal
y,y,dy,dy
daryee,daryE,lchoar,lSoar
chckhar,SXar,or,or
salaly,salaly,chey,Sey
olkal,olkal,lodaiin,lodaM
shckhy,ZXy,oor,oor
lkchody,lkSody,okeedy,okEdy
qokedy,qkedy,okaly,okaly
opchr,opSr,tar,tar
yked,yked,al,al
tdol,tdol,keey,kEy
chedy,Sedy,oram,oram
qokal,qkal,pcheoepchy,pSeoepSy
ar,ar,olar,olar
ty,ty,yl,yl
or,or,yfody,yfody
olkal,olkal,okedody,okedody
chckheedaiin,SXEdaM,shod,Zod
rd,rd,ololdy,ololdy
olseol,olseol,dar,dar
cthey,Qey,ytey,ytey
cpheols,Weols,ytar,ytar
lsheedy,lZEdy,sheody,Zeody
ytear,ytear,olam,olam
ofcheedy,ofSEdy,octhede,oQede
chedy,Sedy,otedy,otedy
okeey,okEy,chdain,SdaN
sheey,ZEy,oltey,oltey
or,or,kchy,kSy
aiiineos,a3eos,ty,ty
qokchy,qkSy,qotedy,qtedy
odyaiiin,odya3,chyty,Syty
qokchedy,qkSedy,chdaly,Sdaly
chedy,Sedy,dar,dar
chor,Sor,chd,Sd
ykedar,ykedar,otedy,otedy
chedy,Sedy,qotol,qtol
scheedar,sSEdar,okedy,okedy
ol,ol,dody,dody
ochedam,oSedam,ody,ody
ypchair,ypSaT,kam,kam
qokaiin,qkaM,ytedy,ytedy
aiin,aM,daiin,daM
dar,dar,chey,Sey
tdal,tdal,aiin,aM
lcheos,lSeos,shy,Zy
sarey,sarey,chckhy,SXy
tees,tEs,oltchedy,oltSedy
ol,ol,otedy,otedy
chd,Sd,dam,dam
ral,ral,checthy,SeQy
leor,leor,qoteedy,qtEdy
lkeody,lkeody,shedy,Zedy
ofchdal,ofSdal,shedy,Zedy
sheol,Zeol,ol,ol
sheey,ZEy,okes,okes
ked,ked,ar,ar
chckhey,SXey,ykeedl,ykEdl
qotedy,qtedy,chedy,Sedy
daiin,daM,otey,otey
qol,ql,okaiin,okaM
dain,daN,oteol,oteol
qokeeedy,qkEedy,chekey,Sekey
keol,keol,chetey,Setey
schedor,sSedor,oll,oll
solkes,solkes,chesy,Sesy
aredam,aredam,daiin,daM
chol,Sol,cheky,Seky
daiin,daM,fchs,fSs
lfcho,lfSo,aiir,aU
olkar,olkar,amg,amg
dchey,dSey,qokedy,qkedy
dardy,dardy,dal,dal
otey,otey,chdy,Sdy
alom,alom,olchy,olSy
shal,Zal,ykcheg,ykSeg
odaim,odaK,ykedy,ykedy
raiin,raM,qokchdy,qkSdy
otal,otal,s,s
qokar,qkar,ar,ar
keeedy,kEedy,oldam,oldam
tshair,tZaT,shotchy,ZotSy
qotar,qtar,qoky,qky
ldy,ldy,olk,olk
kcheeedy,kSEedy,checkhy,SeXy
chey,Sey,ysair,ysaT
qokchedy,qkSedy,air,aT
qoteam,qteam,chodar,Sodar
olko,olko,tam,tam
qordar,qrdar,ykchdy,ykSdy
tchs,tSs,qod,qd
ky,ky,ar,ar
reedy,rEdy,chct,Sct
olyed,olyed,aikhy,aikhy
tedar,tedar,orlchey,orlSey
keey,kEy,todaly,todaly
qockhor,qXor,okaiin,okaM
qokal,qkal,dardy,dardy
qokaiin,qkaM,tcheo,tSeo
okedor,okedor,olchckhy,olSXy
redair,redaT,oly,oly
qokdair,qkdaT,otchdy,otSdy
qokear,qkear,chefalas,Sefalas
otar,otar,qokeey,qkEy
qordar,qrdar,sh,Z
tdal,tdal,kaldaiin,kaldaM
cheedy,SEdy,cheky,Seky
aleedaiin,alEdaM,cthdaly,Qdaly
qokshs,qkZs,otchedy,otSedy
shey,Zey,chty,Sty
opcheeey,opSEey,saiin,saM
keeod,kEod,char,Sar
olshedam,olZedam,aiin,aM
lkain,lkaN,okor,okor
qoeesy,qEsy,ar,ar
olkar,olkar,tol,tol
ol,ol,qokar,qkar
okaiin,okaM,chckhy,SXy
qokdy,qkdy,chdal,Sdal
daiin,daM,ked,ked
ltedy,ltedy,qokar,qkar
ykcheeo,ykSEo,ar,ar
ain,aN,daiin,daM
ctheedar,QEdar,dam,dam
reain,reaN,ykeo,ykeo
soreol,soreol,lor,lor
dalyeol,dalyeol,ochey,oSey
okchedal,okSedal,oly,oly
fchail,fSaG,okaly,okaly
aiin,aM,kechdy,keSdy
daiin,daM,qokchdy,qkSdy
ofeey,ofEy,chor,Sor
ar,ar,ar,ar
qokal,qkal,aiiin,a3
qokal,qkal,daly,daly
okar,okar,or,or
aredy,aredy,ar,ar
okal,okal,y,y
olkal,olkal,kar,kar
chaiiin,Sa3,ol,ol
qocthear,qQear,al,al
yshaiin,yZaM,oky,oky
osaiiin,osa3,chody,Sody
ain,aN,qokal,qkal
dal,dal,chedy,Sedy
ctheey,QEy,chcthedy,SQedy
qotealy,qtealy,cheky,Seky
sheedy,ZEdy,daram,daram
ol,ol,sair,saT
kcha,kSa,chekar,Sekar
aiin,aM,cheky,Seky
okal,okal,shek,Zek
shdor,Zdor,cholchedy,SolSedy
reedy,rEdy,qokedy,qkedy
otshdy,otZdy,yk,yk
dalyo,dalyo,cheolchcthy,SeolSQy
opcheeedy,opSEedy,kschdy,ksSdy
otar,otar,chdy,Sdy
solkar,solkar,chefchy,SefSy
olkeey,olkEy,shdy,Zdy
choly,Soly,qopchdy,qpSdy
salais,salais,shdydy,Zdydy
qopchdy,qpSdy,chdalchdy,SdalSdy
seol,seol,ypchdy,ypSdy
qokol,qkol,chcthdy,SQdy
sheedy,ZEdy,spaiin,spaM
chedy,Sedy,tol,tol
cthdaly,Qdaly,qokchy,qkSy
dar,dar,dychedy,dySedy
qofcheos,qfSeos,okchy,okSy
qokeey,qkEy,chckhdy,SXdy
chckhy,SXy,chdaiin,SdaM
aryey,aryey,ckhy,Xy
okal,okal,loees,loEs
qokal,qkal,ykar,ykar
okedal,okedal,aiin,aM
ykesy,ykesy,oldam,oldam
qotchaiin,qtSaM,ytal,ytal
qolchey,qlSey,seor,seor
opchain,opSaN,chdal,Sdal
olkeey,olkEy,olchdy,olSdy
qokshey,qkZey,char,Sar
tcheol,tSeol,or,or
yshody,yZody,ol,ol
chckhy,SXy,kedaiiin,keda3
taly,taly,chcthy,SQy
olted,olted,okchdy,okSdy
qotchy,qtSy,chckhy,SXy
shedy,Zedy,dasam,dasam
solkeod,solkeod,tchdaiin,tSdaM
cheeody,SEody,chekal,Sekal
ykoiiin,yko3,shedy,Zedy
ckhedy,Xedy,qokedar,qkedar
otal,otal,chdaiin,SdaM
qokal,qkal,oldar,oldar
aleam,aleam,qoldar,qldar
qotedy,qtedy,chedy,Sedy
qokeedy,qkEdy,daiin,daM
ytaiin,ytaM,otam,otam
okal,okal,lshaiir,lZaU
chckhg,SXg,orair,oraT
or,or,shedy,Zedy
chedy,Sedy,chechey,SeSey
okaiin,okaM,dykey,dykey
araiin,araM,kair,kaT
ofchdar,ofSdar,chedy,Sedy
qokcheedaiin,qkSEdaM,qokar,qkar
chedy,Sedy,chekaly,Sekaly
qokal,qkal,cholky,Solky
reeor,rEor,pchedar,pSedar
ol,ol,seear,sEar
cheey,SEy,qokchdy,qkSdy
chedy,Sedy,qokees,qkEs
ypchees,ypSEs,cheol,Seol
cheedar,SEdar,ypchdaiin,ypSdaM
qokshaim,qkZaK,chedy,Sedy
chedy,Sedy,lr,lr
qotal,qtal,ar,ar
or,or,chedain,SedaN
lkain,lkaN,olchdaiin,olSdaM
lkches,lkSes,chedy,Sedy
chey,Sey,chey,Sey
dar,dar,keedy,kEdy
lkam,lkam,chy,Sy
shiir,ZU,kedy,kedy
qotedy,qtedy,dy,dy
ltoiin,ltoM,qokedy,qkedy
dsheeal,dZEal,okey,okey
shoiin,ZoM,sair,saT
aiin,aM,chkain,SkaN
daiin,daM,otain,otaN
qokeey,qkEy,ysheos,yZeos
olsheeey,olZEey,otar,otar
oiinain,oMaN,ar,ar
chcphaiin,SWaM,choraiin,SoraM
fcheeor,fSEor,cheky,Seky
or,or,olchdaiin,olSdaM
opchedam,opSedam,or,or
daiin,daM,oldar,oldar
aiiineody,a3eody,chdar,Sdar
olkedy,olkedy,okam,okam
cheeo,SEo,lsheody,lZeody
shol,Zol,cphy,Wy
okes,okes,qokeey,qkEy
or,or,keedy,kEdy
okey,okey,kchdy,kSdy
keed,kEd,chedy,Sedy
okaiin,okaM,qokedy,qkedy
olchaiir,olSaU,chdy,Sdy
qokchedy,qkSedy,kal,kal
dar,dar,shs,Zs
seol,seol,oldaiin,oldaM
ofcheoly,ofSeoly,daiin,daM
chdy,Sdy,chdy,Sdy
okeedy,okEdy,tedy,tedy
qokey,qkey,kchdy,kSdy
ar,ar,okeedy,okEdy
chckhey,SXey,checkhy,SeXy
qotain,qtaN,chdy,Sdy
kchedair,kSedaT,kain,kaN
cheos,Seos,cheor,Seor
osedy,osedy,or,or
dleo,dleo,okedy,okedy
ar,ar,okam,okam
ytcham,ytSam,yshos,yZos
otedy,otedy,ody,ody
qoky,qky,s,s
shdaiin,ZdaM,aiin,aM
oleol,oleol,okoy,okoy
okedy,okedy,okal,okal
okchedy,okSedy,shedy,Zedy
cheeey,SEey,tedo,tedo
aiin,aM,chshd,SZd
opchom,opSom,cphhofy,Whofy
tair,taT,chdain,SdaN
okar,okar,shey,Zey
chckhy,SXy,fsey,fsey
qockhedy,qXedy,dy,dy
